회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
㈜넥슨,[인텔리전스랩스] 미디어개발팀 웹개발자 (Node.js),경력3년↑,학력무관,경기 성남시,"C#, Java, API",~01/04(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43487487?Oem_Code=C1&logpath=1&stext=&listno=1661
㈜크로마아이티,무정전전원장치(UPS) 생산(납품/설치) 신입/경력 모집,신입·경력,학력무관,경기 성남시,"조립, 전기제어, 납품, 전기설비, 설치",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43487446?Oem_Code=C1&logpath=1&stext=&listno=1662
㈜대웅제약,[대웅제약] 생산부문 QC(오송) 계약직채용,경력무관,초대졸↑,충북 청주시 외,"이화학시험, 바이오, 샘플링, 원료, 제약",~12/19(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43487424?Oem_Code=C1&logpath=1&stext=&listno=1663
㈜세스코,(주)세스코 부산서부지부 서비스컨설턴트(SC) 모집,신입,고졸↑,부산 부산진구 외,"기술지원, 고객지원, 설치, 해충방제, 유지보수",~01/04(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43487384?Oem_Code=C1&logpath=1&stext=&listno=1664
㈜오토핸즈,[오토핸즈 본사] 차량사고 대물보상 담당자 모집 (신입가능),경력무관,학력무관,서울 영등포구 외,"차량대물보상, 차량수리비용, 컨텐츠, 차량사고조사, 채권",~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43487372?Oem_Code=C1&logpath=1&stext=&listno=1665
케이비라이프생명보험㈜,회계부 신입 계약직 채용,신입,초대졸↑,서울 강남구,"보고서 작성, 법인카드 관리, 문서작성",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43487353?Oem_Code=C1&logpath=1&stext=&listno=1666
반다이남코코리아㈜,법무 담당 경력(3년 이하) 채용,경력1년↑,대졸↑,서울 중구,"문서작성, 컴플라이언스, 판매, 지적재산권, 유통",~01/04(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43487295?Oem_Code=C1&logpath=1&stext=&listno=1667
㈜네오바이오텍,[네오바이오텍] 품질관리 검사(QC) 신입/경력 채용 공고,경력무관,학력무관,강원 원주시,"수출입계약, 수출입관리, 수출입관리, 통관, 오더관리",~02/03(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43487255?Oem_Code=C1&logpath=1&stext=&listno=1668
윌로펌프㈜,윌로펌프 PM/PE 엔지니어 신입/경력,신입·경력2년↑,대졸↑,부산 강서구,"메카트로닉스, 회로설계, 제어·설계, 전기·전자, 기계",~12/19(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43487232?Oem_Code=C1&logpath=1&stext=&listno=1669
㈜에이엠피엠글로벌,"연 3000만,성과급 별도, 2024년 01월 마케터 신입 공채",신입·경력,초대졸↑,서울 금천구 외,"기업홍보, 디지털마케팅, 홍보대행, 키워드광고, 브랜딩",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43487217?Oem_Code=C1&logpath=1&stext=&listno=1670
㈜크로마아이티,국내기술영업 신입/경력 모집,신입·경력3년↑,초대졸↑,경기 성남시,"전기제어, 기술영업, 전기설비",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43487215?Oem_Code=C1&logpath=1&stext=&listno=1671
하이즈복합재산업㈜,우주산업 및 신규산업 확대-연구개발 및 공정기술 분야 채용,경력무관,학력무관,전북 완주군,"영어, 항공",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43487210?Oem_Code=C1&logpath=1&stext=&listno=1672
삼성생명보험㈜,계리직무 경력사원 채용(선임계리사 지원),경력,대졸↑,서울 서초구,"계리모델링, 계리결산, 선임계리사",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43487099?Oem_Code=C1&logpath=1&stext=&listno=1673
